c,localityfips,tract,names
Accomack,1,980100,Assateague
Accomack,1,980200,Wallops Island Area
Accomack,1,090100,Chincoteague
Accomack,1,090200,"Horntown, New Church, Temperanceville, Atlantic"
Accomack,1,090300,"Saxis, Sanford, Hallwood, Mears, Bloxom"
Accomack,1,090400,"Accomac, Centerville, Nelsonia, Gargatha"
Accomack,1,090500,"Parksley, Greenbush"
Accomack,1,090600,"Onancock area, Tangier Island"
Accomack,1,090700,"Onley, Melfa, Keller, Pungoteague, Hacksneck"
Accomack,1,090800,"Wachapreague, Painter, Quinby, Belle Haven"
Northampton,131,990100,
Northampton,131,930300,"Cape Charles, Cheriton,  Cheapside"
Northampton,131,930100,"Exmore, Jamesillve, Nasawadox, Hog Island"
Northampton,131,930200,"Birdsnest, Machipongo, Eastville"